season,as_of_week,team_id,team_name,wins_to_date,points_to_date,sim_wins_mean,playoff_odds,title_odds,sim_seed_mean
2018,2,4,Team Boswellnt,1.0,267.21999999999997,7.3213333333333335,0.806,0.148,4.314
2018,2,5,A. Brown Man,1.0,191.64,6.232,0.4826666666666667,0.054,6.310666666666667
2018,2,6,Camera Man,2.0,273.96,7.858,0.856,0.16866666666666666,3.6413333333333333
2018,2,7,Waka Waka,0.0,246.74,6.410666666666667,0.608,0.108,5.481333333333334
2018,2,8,Team Vibranium,0.0,212.32,3.4506666666666668,0.04,0.0026666666666666666,9.361333333333333
2018,2,9,Sexual Thielen,1.0,237.33999999999997,6.056666666666667,0.45866666666666667,0.05333333333333334,6.324666666666666
2018,2,10,Gould Standard,1.0,297.24,7.052666666666667,0.7406666666666667,0.12333333333333334,4.58
2018,3,1,Team  Ooga kamara,3.0,406.06,7.811333333333334,0.82,0.106,3.802
2018,3,2,Team Hmar,2.0,374.53999999999996,6.468,0.558,0.05,5.8533333333333335
2018,3,3,Team SUpton,1.0,386.18,6.93,0.756,0.176,4.518666666666666
2018,3,4,Team Boswellnt,1.0,390.78,6.1146666666666665,0.5313333333333333,0.08666666666666667,5.963333333333333
2018,3,5,A. Brown Man,1.0,299.46,5.663333333333333,0.33866666666666667,0.03266666666666666,7.069333333333334
2018,3,6,Camera Man,2.0,388.7,7.669333333333333,0.8426666666666667,0.17866666666666667,3.8093333333333335
2018,3,7,Waka Waka,1.0,377.26,7.302666666666667,0.8266666666666667,0.204,4.089333333333333
2018,3,8,Team Vibranium,1.0,350.64,3.945333333333333,0.050666666666666665,0.0013333333333333333,9.243333333333334
2018,3,9,Sexual Thielen,1.0,372.47999999999996,5.874666666666666,0.4666666666666667,0.05333333333333334,6.38
2018,3,10,Gould Standard,2.0,445.58000000000004,7.220666666666666,0.8093333333333333,0.11133333333333334,4.271333333333334
2018,4,1,Team  Ooga kamara,4.0,581.56,8.762,0.9493333333333334,0.16733333333333333,2.55
2018,4,2,Team Hmar,3.0,534.8199999999999,7.115333333333333,0.7313333333333333,0.08333333333333333,4.854
2018,4,3,Team SUpton,2.0,503.6,7.3373333333333335,0.8213333333333334,0.18533333333333332,4.218
2018,4,4,Team Boswellnt,1.0,516.04,5.491333333333333,0.402,0.04933333333333333,6.735333333333333
2018,4,5,A. Brown Man,1.0,379.71999999999997,4.796666666666667,0.13266666666666665,0.011333333333333334,8.342
2018,4,6,Camera Man,2.0,495.14,6.738666666666667,0.6393333333333333,0.08133333333333333,5.358
2018,4,7,Waka Waka,1.0,508.12,6.658666666666667,0.728,0.174,4.937333333333333
2018,4,8,Team Vibranium,1.0,456.14,3.6173333333333333,0.029333333333333333,0.002,9.342
2018,4,9,Sexual Thielen,2.0,527.28,6.709333333333333,0.68,0.10666666666666667,5.086
2018,4,10,Gould Standard,3.0,564.96,7.773333333333333,0.8866666666666667,0.13933333333333334,3.5773333333333333
2018,5,1,Team  Ooga kamara,4.0,688.8,7.77,0.8593333333333333,0.116,3.6806666666666668
2018,5,2,Team Hmar,3.0,668.1999999999999,6.496,0.586,0.058666666666666666,5.678
2018,5,3,Team SUpton,2.0,637.7,6.875333333333334,0.758,0.21733333333333332,4.488
2018,5,4,Team Boswellnt,2.0,657.54,5.873333333333333,0.45666666666666667,0.046,6.350666666666666
2018,5,5,A. Brown Man,2.0,525.12,6.241333333333333,0.45,0.06733333333333333,6.447333333333333
2018,5,6,Camera Man,2.0,595.68,6.158666666666667,0.4846666666666667,0.08133333333333333,6.264666666666667
2018,5,7,Waka Waka,2.0,672.26,6.758,0.7346666666666667,0.12133333333333333,4.806666666666667
2018,5,8,Team Vibranium,1.0,561.06,3.429333333333333,0.017333333333333333,0.0,9.657333333333334
2018,5,9,Sexual Thielen,3.0,630.04,7.052,0.716,0.08933333333333333,4.907333333333334
2018,5,10,Gould Standard,4.0,701.98,8.346,0.9373333333333334,0.20266666666666666,2.719333333333333
2018,6,1,Team  Ooga kamara,5.0,776.64,8.398,0.93,0.14733333333333334,3.0846666666666667
2018,6,2,Team Hmar,4.0,801.3999999999999,7.322666666666667,0.7973333333333333,0.09533333333333334,4.448666666666667
2018,6,3,Team SUpton,3.0,782.2,6.905333333333333,0.7633333333333333,0.17,4.742
2018,6,4,Team Boswellnt,3.0,820.52,6.609333333333334,0.6946666666666667,0.096,5.132
2018,6,5,A. Brown Man,2.0,630.78,5.6113333333333335,0.286,0.03933333333333333,7.384
2018,6,6,Camera Man,2.0,706.3,5.875333333333334,0.41933333333333334,0.07333333333333333,6.605333333333333
2018,6,7,Waka Waka,2.0,813.66,5.95,0.5293333333333333,0.06866666666666667,6.076666666666667
2018,6,8,Team Vibranium,1.0,633.6999999999999,2.902,0.004666666666666667,0.0,9.855333333333334
2018,6,9,Sexual Thielen,3.0,769.62,6.540666666666667,0.5993333333333334,0.06066666666666667,5.654
2018,6,10,Gould Standard,5.0,850.1,8.885333333333334,0.976,0.24933333333333332,2.017333333333333
2018,7,1,Team  Ooga kamara,6.0,883.72,8.960666666666667,0.9846666666666667,0.23333333333333334,2.188
2018,7,2,Team Hmar,4.0,871.4199999999998,6.540666666666667,0.6333333333333333,0.064,5.593333333333334
2018,7,3,Team SUpton,3.0,913.46,6.183333333333334,0.656,0.10866666666666666,5.574666666666666
2018,7,4,Team Boswellnt,3.0,978.14,5.83,0.576,0.07666666666666666,5.922
2018,7,5,A. Brown Man,3.0,745.02,6.419333333333333,0.5586666666666666,0.11666666666666667,6.076
2018,7,6,Camera Man,2.0,817.1999999999999,5.402,0.33266666666666667,0.044,7.307333333333333
2018,7,7,Waka Waka,2.0,907.9399999999999,5.184666666666667,0.344,0.042,7.238666666666667
2018,7,8,Team Vibranium,2.0,746.52,4.476666666666667,0.07533333333333334,0.0033333333333333335,8.998666666666667
2018,7,9,Sexual Thielen,4.0,940.56,7.056,0.8453333333333334,0.08933333333333333,4.282666666666667
2018,7,10,Gould Standard,6.0,992.4200000000001,8.946666666666667,0.994,0.222,1.8186666666666667
2018,8,1,Team  Ooga kamara,6.0,1018.9200000000001,8.140666666666666,0.962,0.13933333333333334,2.772666666666667
2018,8,2,Team Hmar,4.0,945.7799999999999,6.304666666666667,0.5666666666666667,0.06266666666666666,5.926666666666667
2018,8,3,Team SUpton,3.0,1046.0,6.187333333333333,0.7146666666666667,0.21266666666666667,5.223333333333334
2018,8,4,Team Boswellnt,3.0,1070.86,5.514666666666667,0.5013333333333333,0.09133333333333334,6.417333333333334
2018,8,5,A. Brown Man,3.0,882.0799999999999,5.504666666666667,0.2966666666666667,0.048,7.517333333333333
2018,8,6,Camera Man,3.0,973.56,5.985333333333333,0.5673333333333334,0.08133333333333333,6.226666666666667
2018,8,7,Waka Waka,3.0,1036.0,5.254666666666667,0.3353333333333333,0.034666666666666665,7.322666666666667
2018,8,8,Team Vibranium,3.0,886.02,4.917333333333334,0.118,0.006,8.605333333333334
2018,8,9,Sexual Thielen,5.0,1080.0,7.62,0.938,0.09333333333333334,3.536
2018,8,10,Gould Standard,7.0,1127.8200000000002,9.570666666666666,1.0,0.23066666666666666,1.452
2018,9,1,Team  Ooga kamara,7.0,1171.26,8.883333333333333,1.0,0.21733333333333332,2.104
2018,9,2,Team Hmar,4.0,1052.86,5.731333333333334,0.4666666666666667,0.034,6.682
2018,9,3,Team SUpton,4.0,1150.46,6.688,0.8953333333333333,0.23,4.430666666666666
2018,9,4,Team Boswellnt,3.0,1174.76,5.246,0.49133333333333334,0.07066666666666667,6.600666666666666
2018,9,5,A. Brown Man,3.0,966.9599999999999,4.693333333333333,0.13533333333333333,0.006,8.489333333333333
2018,9,6,Camera Man,4.0,1108.62,5.706,0.5213333333333333,0.043333333333333335,6.528666666666667
2018,9,7,Waka Waka,3.0,1153.66,5.132,0.4093333333333333,0.058666666666666666,7.004
2018,9,8,Team Vibranium,3.0,973.3199999999999,4.582,0.08466666666666667,0.004666666666666667,8.767333333333333
2018,9,9,Sexual Thielen,6.0,1241.42,8.213333333333333,0.996,0.13066666666666665,3.0126666666666666
2018,9,10,Gould Standard,8.0,1297.3000000000002,10.124666666666666,1.0,0.20466666666666666,1.3806666666666667
2018,10,1,Team  Ooga kamara,7.0,1277.38,8.492,1.0,0.22,2.4186666666666667
2018,10,2,Team Hmar,4.0,1190.58,5.3,0.26266666666666666,0.024,7.306
2018,10,3,Team SUpton,5.0,1291.1200000000001,6.828,0.948,0.17533333333333334,4.251333333333333
2018,10,4,Team Boswellnt,4.0,1339.32,5.7,0.6853333333333333,0.11333333333333333,5.808666666666666
2018,10,5,A. Brown Man,3.0,1074.32,4.487333333333333,0.07133333333333333,0.009333333333333334,8.780666666666667
2018,10,6,Camera Man,4.0,1228.84,5.364,0.33266666666666667,0.023333333333333334,7.016666666666667
2018,10,7,Waka Waka,4.0,1326.52,5.715333333333334,0.684,0.10133333333333333,5.913333333333333
2018,10,8,Team Vibranium,3.0,1099.12,4.037333333333334,0.016,0.0,9.404
2018,10,9,Sexual Thielen,7.0,1375.94,8.588,1.0,0.10866666666666666,2.8506666666666667
2018,10,10,Gould Standard,9.0,1429.1000000000001,10.488,1.0,0.22466666666666665,1.25
2018,11,1,Team  Ooga kamara,8.0,1422.3000000000002,8.898666666666667,1.0,0.214,2.208
2018,11,2,Team Hmar,4.0,1304.76,4.937333333333333,0.098,0.007333333333333333,7.685333333333333
2018,11,3,Team SUpton,6.0,1424.4,7.115333333333333,0.9926666666666667,0.182,4.301333333333333
2018,11,4,Team Boswellnt,5.0,1551.24,5.977333333333333,0.83,0.08333333333333333,5.418666666666667
2018,11,5,A. Brown Man,3.0,1184.58,4.008,0.0,0.0,9.242666666666667
2018,11,6,Camera Man,4.0,1348.12,5.02,0.148,0.008,7.276
2018,11,7,Waka Waka,5.0,1492.7,6.172,0.9313333333333333,0.16666666666666666,5.307333333333333
2018,11,8,Team Vibranium,3.0,1199.9199999999998,3.84,0.0,0.0,9.45
2018,11,9,Sexual Thielen,8.0,1496.38,9.008666666666667,1.0,0.12266666666666666,2.7213333333333334
2018,11,10,Gould Standard,9.0,1537.2200000000003,10.022666666666666,1.0,0.216,1.3893333333333333
2018,12,1,Team  Ooga kamara,9.0,1551.42,9.449333333333334,1.0,0.21466666666666667,1.9933333333333334
2018,12,2,Team Hmar,5.0,1425.5,5.406,0.132,0.010666666666666666,7.168666666666667
2018,12,3,Team SUpton,6.0,1528.22,6.594666666666667,0.9993333333333333,0.176,5.020666666666667
2018,12,4,Team Boswellnt,6.0,1701.7,6.594,1.0,0.13533333333333333,4.275333333333333
2018,12,5,A. Brown Man,3.0,1301.6799999999998,3.4053333333333335,0.0,0.0,9.236666666666666
2018,12,6,Camera Man,4.0,1493.0,4.521333333333334,0.0,0.0,7.697333333333333
2018,12,7,Waka Waka,5.0,1625.42,5.666,0.8686666666666667,0.13933333333333334,5.838
2018,12,8,Team Vibranium,3.0,1255.7199999999998,3.334,0.0,0.0,9.763333333333334
2018,12,9,Sexual Thielen,9.0,1665.94,9.478666666666667,1.0,0.10466666666666667,2.5946666666666665
2018,12,10,Gould Standard,10.0,1637.9600000000003,10.550666666666666,1.0,0.21933333333333332,1.412
2018,13,1,Team  Ooga kamara,10.0,1678.7,10.0,1.0,0.23266666666666666,2.0
2018,13,2,Team Hmar,5.0,1528.8,5.0,0.0,0.0,7.0
2018,13,3,Team SUpton,6.0,1637.94,6.0,1.0,0.162,6.0
2018,13,4,Team Boswellnt,7.0,1830.6000000000001,7.0,1.0,0.18866666666666668,4.0
2018,13,5,A. Brown Man,4.0,1449.06,4.0,0.0,0.0,9.0
2018,13,6,Camera Man,4.0,1568.14,4.0,0.0,0.0,8.0
2018,13,7,Waka Waka,6.0,1760.76,6.0,1.0,0.15933333333333333,5.0
2018,13,8,Team Vibranium,3.0,1343.1399999999999,3.0,0.0,0.0,10.0
2018,13,9,Sexual Thielen,10.0,1788.0,10.0,1.0,0.14333333333333334,1.0
2018,13,10,Gould Standard,10.0,1736.4400000000003,10.0,1.0,0.114,3.0
2019,0,1,Henrys Not A. Hooper,0.0,0.0,5.640666666666666,0.37066666666666664,0.03,6.968666666666667
2019,0,2,Hot Chubb Tom Machine,0.0,0.0,5.523333333333333,0.37066666666666664,0.03,7.006
2019,0,3,Team SUpton,0.0,0.0,7.173333333333333,0.7553333333333333,0.15466666666666667,4.3566666666666665
2019,0,4,Team Boswellnt,0.0,0.0,6.684,0.6513333333333333,0.09133333333333334,5.224
2019,0,5,Beat Ankit,0.0,0.0,6.982666666666667,0.7013333333333334,0.112,4.842666666666666
2019,0,6,Camera Man,0.0,0.0,7.004,0.722,0.13,4.690666666666667
2019,0,7,fReE wIn,0.0,0.0,6.5473333333333334,0.63,0.104,5.386
2019,0,8,All Ma Hom(i)es,0.0,0.0,7.461333333333333,0.826,0.22466666666666665,3.896
2019,0,9,Please Win,0.0,0.0,5.778666666666667,0.44133333333333336,0.05533333333333333,6.629333333333333
2019,0,10,Henry is a  Hekler,0.0,0.0,6.204666666666666,0.5313333333333333,0.068,6.0
2019,1,1,Henrys Not A. Hooper,1.0,130.34,6.379333333333333,0.5433333333333333,0.068,5.926
2019,1,2,Hot Chubb Tom Machine,0.0,97.44,5.304,0.31,0.030666666666666665,7.461333333333333
2019,1,3,Team SUpton,1.0,140.74,7.720666666666666,0.8433333333333334,0.18866666666666668,3.5113333333333334
2019,1,4,Team Boswellnt,0.0,113.7,6.294,0.5626666666666666,0.096,5.756666666666667
2019,1,5,Beat Ankit,0.0,104.82,6.628,0.6266666666666667,0.10466666666666667,5.402
2019,1,6,Camera Man,1.0,145.12,6.000666666666667,0.4573333333333333,0.03,6.542
2019,1,7,fReE wIn,1.0,136.32,7.220666666666666,0.7546666666666667,0.16466666666666666,4.39
2019,1,8,All Ma Hom(i)es,0.0,132.62,6.764666666666667,0.724,0.156,4.741333333333333
2019,1,9,Please Win,1.0,183.5,6.623333333333333,0.6646666666666666,0.088,5.168
2019,1,10,Henry is a  Hekler,0.0,128.04,6.064666666666667,0.5133333333333333,0.07333333333333333,6.101333333333334
2019,2,1,Henrys Not A. Hooper,1.0,247.76,6.197333333333333,0.512,0.05533333333333333,6.1306666666666665
2019,2,2,Hot Chubb Tom Machine,1.0,220.3,4.915333333333334,0.188,0.01,8.242
2019,2,3,Team SUpton,2.0,246.14000000000001,8.121333333333334,0.878,0.198,3.2053333333333334
2019,2,4,Team Boswellnt,0.0,219.2,6.044666666666667,0.49666666666666665,0.07533333333333334,6.232
2019,2,5,Beat Ankit,1.0,232.57999999999998,6.908666666666667,0.674,0.12133333333333333,5.085333333333334
2019,2,6,Camera Man,1.0,255.8,6.607333333333333,0.634,0.10066666666666667,5.348
2019,2,7,fReE wIn,1.0,240.06,6.748666666666667,0.6946666666666667,0.14,4.989333333333334
2019,2,8,All Ma Hom(i)es,0.0,256.04,6.054,0.5686666666666667,0.118,5.756
2019,2,9,Please Win,2.0,348.36,6.864,0.734,0.09333333333333334,4.594666666666667
2019,2,10,Henry is a  Hekler,1.0,258.46,6.538666666666667,0.62,0.088,5.416666666666667
2019,3,1,Henrys Not A. Hooper,1.0,351.58,5.638,0.3893333333333333,0.034,6.922666666666666
2019,3,2,Hot Chubb Tom Machine,1.0,337.94,4.786,0.16933333333333334,0.011333333333333334,8.272
2019,3,3,Team SUpton,3.0,366.90000000000003,8.429333333333334,0.9173333333333333,0.206,2.9546666666666668
2019,3,4,Team Boswellnt,1.0,344.56,6.515333333333333,0.6366666666666667,0.09733333333333333,5.548666666666667
2019,3,5,Beat Ankit,2.0,356.48,7.489333333333334,0.7926666666666666,0.13133333333333333,4.302666666666667
2019,3,6,Camera Man,1.0,359.68,5.502666666666666,0.35133333333333333,0.035333333333333335,7.1353333333333335
2019,3,7,fReE wIn,2.0,392.82,7.096666666666667,0.7766666666666666,0.12133333333333333,4.46
2019,3,8,All Ma Hom(i)es,0.0,374.90000000000003,5.046,0.33,0.05266666666666667,7.292
2019,3,9,Please Win,2.0,459.70000000000005,6.714,0.7373333333333333,0.108,4.772
2019,3,10,Henry is a  Hekler,2.0,434.08,7.782666666666667,0.8993333333333333,0.20266666666666666,3.34
2019,4,1,Henrys Not A. Hooper,2.0,459.06,6.196666666666666,0.49066666666666664,0.04533333333333334,6.33
2019,4,2,Hot Chubb Tom Machine,2.0,453.14,5.276666666666666,0.232,0.012,7.890666666666666
2019,4,3,Team SUpton,3.0,468.30000000000007,8.502666666666666,0.9393333333333334,0.26,2.558
2019,4,4,Team Boswellnt,1.0,454.36,5.959333333333333,0.4886666666666667,0.06333333333333334,6.363333333333333
2019,4,5,Beat Ankit,3.0,471.26,7.610666666666667,0.8293333333333334,0.12533333333333332,4.139333333333333
2019,4,6,Camera Man,1.0,460.68,5.4446666666666665,0.3586666666666667,0.058666666666666666,7.1593333333333335
2019,4,7,fReE wIn,2.0,467.65999999999997,6.898,0.7213333333333334,0.15066666666666667,4.740666666666667
2019,4,8,All Ma Hom(i)es,1.0,502.0,5.450666666666667,0.42733333333333334,0.06066666666666667,6.788
2019,4,9,Please Win,3.0,598.32,7.042,0.8013333333333333,0.122,4.073333333333333
2019,4,10,Henry is a  Hekler,2.0,555.5799999999999,6.618666666666667,0.7113333333333334,0.102,4.957333333333334
2019,5,1,Henrys Not A. Hooper,2.0,602.76,5.812666666666667,0.45266666666666666,0.04666666666666667,6.6593333333333335
2019,5,2,Hot Chubb Tom Machine,2.0,544.36,5.249333333333333,0.21533333333333332,0.014666666666666666,8.010666666666667
2019,5,3,Team SUpton,4.0,618.32,7.801333333333333,0.8453333333333334,0.112,3.8413333333333335
2019,5,4,Team Boswellnt,1.0,553.0600000000001,5.638,0.37533333333333335,0.05,7.053333333333334
2019,5,5,Beat Ankit,4.0,646.88,8.324666666666667,0.9393333333333334,0.22133333333333333,2.7133333333333334
2019,5,6,Camera Man,2.0,618.4200000000001,5.824,0.472,0.058666666666666666,6.529333333333334
2019,5,7,fReE wIn,3.0,605.38,7.407333333333334,0.8453333333333334,0.21933333333333332,3.9266666666666667
2019,5,8,All Ma Hom(i)es,1.0,615.14,5.0793333333333335,0.32133333333333336,0.06266666666666666,7.352666666666667
2019,5,9,Please Win,3.0,725.84,6.442,0.684,0.07933333333333334,5.089333333333333
2019,5,10,Henry is a  Hekler,3.0,648.7199999999999,7.421333333333333,0.8493333333333334,0.13533333333333333,3.824
2019,6,1,Henrys Not A. Hooper,2.0,708.86,5.331333333333333,0.296,0.030666666666666665,7.3773333333333335
2019,6,2,Hot Chubb Tom Machine,2.0,649.62,5.167333333333334,0.18533333333333332,0.012,8.130666666666666
2019,6,3,Team SUpton,4.0,721.22,7.18,0.738,0.07933333333333334,4.776
2019,6,4,Team Boswellnt,1.0,666.7800000000001,4.792666666666666,0.17733333333333334,0.026,8.102666666666666
2019,6,5,Beat Ankit,4.0,736.7,8.110666666666667,0.9293333333333333,0.24333333333333335,2.734
2019,6,6,Camera Man,3.0,748.1200000000001,6.89,0.788,0.16866666666666666,4.6273333333333335
2019,6,7,fReE wIn,4.0,735.5799999999999,7.21,0.7986666666666666,0.10866666666666666,4.6113333333333335
2019,6,8,All Ma Hom(i)es,2.0,727.66,5.210666666666667,0.30933333333333335,0.037333333333333336,7.38
2019,6,9,Please Win,4.0,890.76,7.060666666666667,0.85,0.122,4.025333333333333
2019,6,10,Henry is a  Hekler,4.0,749.5199999999999,8.046666666666667,0.928,0.172,3.235333333333333
2019,7,1,Henrys Not A. Hooper,3.0,845.88,6.027333333333333,0.49333333333333335,0.05466666666666667,6.276
2019,7,2,Hot Chubb Tom Machine,3.0,749.08,5.760666666666666,0.3,0.024666666666666667,7.350666666666666
2019,7,3,Team SUpton,4.0,823.1600000000001,6.788,0.644,0.054,5.46
2019,7,4,Team Boswellnt,2.0,795.98,4.429333333333333,0.074,0.004666666666666667,8.978
2019,7,5,Beat Ankit,5.0,896.96,8.305333333333333,0.966,0.188,2.366
2019,7,6,Camera Man,3.0,841.8400000000001,6.139333333333333,0.586,0.10133333333333333,5.95
2019,7,7,fReE wIn,4.0,865.1399999999999,7.140666666666666,0.8553333333333333,0.168,4.148
2019,7,8,All Ma Hom(i)es,2.0,802.9,5.258666666666667,0.3586666666666667,0.06266666666666666,7.239333333333334
2019,7,9,Please Win,4.0,983.72,6.418666666666667,0.7426666666666667,0.08133333333333333,4.992
2019,7,10,Henry is a  Hekler,5.0,858.8999999999999,8.732,0.98,0.26066666666666666,2.24
2019,8,1,Henrys Not A. Hooper,3.0,964.76,5.132,0.244,0.017333333333333333,7.7026666666666666
2019,8,2,Hot Chubb Tom Machine,3.0,871.5400000000001,5.402666666666667,0.222,0.016,7.971333333333333
2019,8,3,Team SUpton,4.0,944.6400000000001,6.118666666666667,0.456,0.03,6.623333333333333
2019,8,4,Team Boswellnt,3.0,906.9200000000001,5.737333333333333,0.3406666666666667,0.03333333333333333,7.239333333333334
2019,8,5,Beat Ankit,6.0,1061.46,8.6,0.992,0.18733333333333332,1.8033333333333332
2019,8,6,Camera Man,4.0,964.8000000000002,6.510666666666666,0.7326666666666667,0.12866666666666668,5.31
2019,8,7,fReE wIn,5.0,998.3399999999999,7.522,0.9446666666666667,0.202,3.482666666666667
2019,8,8,All Ma Hom(i)es,2.0,921.5799999999999,4.866666666666666,0.21933333333333332,0.03266666666666666,7.987333333333333
2019,8,9,Please Win,5.0,1127.46,6.684,0.8673333333333333,0.04733333333333333,4.415333333333334
2019,8,10,Henry is a  Hekler,5.0,953.6199999999999,8.426,0.9813333333333333,0.30533333333333335,2.4646666666666666
2019,9,1,Henrys Not A. Hooper,3.0,1099.26,4.760666666666666,0.15866666666666668,0.014,7.898
2019,9,2,Hot Chubb Tom Machine,3.0,966.1400000000001,4.620666666666667,0.03133333333333333,0.0033333333333333335,8.87
2019,9,3,Team SUpton,5.0,1064.5600000000002,7.054666666666667,0.814,0.082,5.089333333333333
2019,9,4,Team Boswellnt,3.0,996.7600000000001,5.338666666666667,0.17133333333333334,0.030666666666666665,7.713333333333333
2019,9,5,Beat Ankit,7.0,1202.1,9.218666666666667,1.0,0.314,1.3613333333333333
2019,9,6,Camera Man,5.0,1117.7400000000002,6.922,0.8693333333333333,0.13133333333333333,4.676
2019,9,7,fReE wIn,6.0,1130.0,8.113333333333333,0.9853333333333333,0.21866666666666668,2.87
2019,9,8,All Ma Hom(i)es,2.0,1052.9199999999998,4.233333333333333,0.04933333333333333,0.005333333333333333,8.678666666666667
2019,9,9,Please Win,6.0,1240.94,7.11,0.9753333333333334,0.05333333333333334,3.937333333333333
2019,9,10,Henry is a  Hekler,5.0,1077.32,7.628,0.9453333333333334,0.14733333333333334,3.906
2019,10,1,Henrys Not A. Hooper,4.0,1261.18,5.326666666666667,0.328,0.024666666666666667,6.922666666666666
2019,10,2,Hot Chubb Tom Machine,4.0,1080.6000000000001,5.197333333333333,0.06333333333333334,0.007333333333333333,8.33
2019,10,3,Team SUpton,5.0,1170.2400000000002,6.690666666666667,0.728,0.09,5.629333333333333
2019,10,4,Team Boswellnt,3.0,1127.2800000000002,4.707333333333334,0.030666666666666665,0.006666666666666667,8.598
2019,10,5,Beat Ankit,8.0,1342.62,9.542,1.0,0.3466666666666667,1.1146666666666667
2019,10,6,Camera Man,6.0,1247.2600000000002,7.552666666666667,0.9666666666666667,0.08733333333333333,3.704
2019,10,7,fReE wIn,6.0,1263.66,7.914,0.9966666666666667,0.24266666666666667,2.8393333333333333
2019,10,8,All Ma Hom(i)es,3.0,1189.56,3.95,0.017333333333333333,0.0026666666666666666,9.245333333333333
2019,10,9,Please Win,6.0,1350.72,6.9526666666666666,0.9726666666666667,0.06266666666666666,4.002666666666666
2019,10,10,Henry is a  Hekler,5.0,1187.5,7.166666666666667,0.8966666666666666,0.12933333333333333,4.614
2019,11,1,Henrys Not A. Hooper,5.0,1410.8000000000002,5.7026666666666666,0.36666666666666664,0.016,6.440666666666667
2019,11,2,Hot Chubb Tom Machine,4.0,1162.64,4.71,0.0,0.0,8.864666666666666
2019,11,3,Team SUpton,6.0,1288.5800000000002,7.149333333333334,0.8173333333333334,0.09,5.128666666666667
2019,11,4,Team Boswellnt,4.0,1259.4400000000003,4.859333333333334,0.0026666666666666666,0.0,8.414666666666667
2019,11,5,Beat Ankit,8.0,1467.34,9.196,1.0,0.202,1.184
2019,11,6,Camera Man,7.0,1417.7400000000002,8.317333333333334,1.0,0.24866666666666667,2.3253333333333335
2019,11,7,fReE wIn,6.0,1405.46,7.242666666666667,0.9713333333333334,0.21933333333333332,3.8693333333333335
2019,11,8,All Ma Hom(i)es,3.0,1271.94,3.622,0.0,0.0,9.568
2019,11,9,Please Win,6.0,1422.98,6.74,0.912,0.096,4.749333333333333
2019,11,10,Henry is a  Hekler,6.0,1303.44,7.460666666666667,0.93,0.128,4.455333333333333
2019,12,1,Henrys Not A. Hooper,6.0,1548.92,6.434666666666667,0.8706666666666667,0.07,4.932666666666667
2019,12,2,Hot Chubb Tom Machine,5.0,1271.0400000000002,5.373333333333333,0.0,0.0,8.913333333333334
2019,12,3,Team SUpton,6.0,1412.68,6.55,0.6853333333333333,0.08866666666666667,5.697333333333333
2019,12,4,Team Boswellnt,4.0,1393.4600000000003,4.626666666666667,0.0,0.0,8.685333333333332
2019,12,5,Beat Ankit,8.0,1552.5,8.45,1.0,0.19,1.7806666666666666
